,Artist,Streams,Daily,As lead,Solo,As feature,Artist_id
8177,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8178,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8179,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8180,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8181,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8182,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8183,Kimbra,1749.1,0.894,157.1,150.4,1591.9,6hk7Yq1DU9QcCCrz9uc0Ti
8184,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8185,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8186,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8187,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8188,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8189,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8190,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8191,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8192,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8193,d4vd,1746.1,3.952,1742.6,1727.8,3.6,5y8tKLUfMvliMe8IKamR32
8194,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8195,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8196,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8197,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8198,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8199,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8200,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8201,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8202,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8203,Estopa,1742.8,0.966,1565.9,1411.5,176.9,5ZqnEfVdEGmoPxtELhN7ai
8204,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8205,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8206,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8207,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8208,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8209,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8210,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8211,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
8212,Kaskade,1739.5,0.693,1221.8,288.3,517.7,6TQj5BFPooTa08A7pk8AQ1
